Cadastro;Tipo;Cód. Terreno;Bairro - Código;Bairro - Nome;Logradouro - Código;Logradouro - Nome;Quadra;Lote;Número;Cep;Situação Cadastral
1150987;Unidade;1103342;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;2;6;910;85.963-158;Ativo
1150960;Terreno;;12685;BAIRRO DO LAGO;51;IRIO JACOB WELP;1;13/14/15;;85.960-202;Ativo
1150952;Unidade;1083341;12693;BAIRRO ANDORINHA;8297;PASTOR GUILHERME LUDKE;10;01/A;597;85.966-106;Ativo
1150944;Unidade;1152300;12693;BAIRRO ANDORINHA;8297;PASTOR GUILHERME LUDKE;10;01/B;589;85.966-106;Ativo
1150936;Unidade;1155601;12689;BAIRRO BOA VISTA;655;GUILHERME WOLLSTEIN;3;17/A;88;85.966-422;Ativo
1150928;Unidade;192396838;12692;BAIRRO GUAVIRA;682;WILY JULIO WASEN;1;02/A;215;85.966-274;Ativo
1150910;Unidade;192279;12689;BAIRRO BOA VISTA;655;GUILHERME WOLLSTEIN;3;17/B;94;85.966-422;Ativo
1150901;Unidade;1101196;12685;BAIRRO DO LAGO;226;EXPEDICIONÁRIO OTTO GRINGS;1;05/jun;178;85.960-218;Ativo
1150863;Unidade;211389;12688;BAIRRO VILA GAUCHA;686;ARMINDO PRASS;7;5;5173;85.966-166;Ativo
1150855;Unidade;232955;12693;BAIRRO ANDORINHA;88;25 DE MARCO;9;7;34;85.966-154;Ativo
